Room Number,Campus,Exam Date,Exam Time
C005,SA,2024-11-09,9:00
C107,AK,2024-11-09,9:00
E004,AK,2024-11-09,9:00
C009,SA,2024-11-09,9:00
E002A,AK,2024-11-09,9:00
C008,AK,2024-11-09,9:00
A031,AK,2024-11-09,9:00
C112,AK,2024-11-09,9:00
C106,AK,2024-11-09,9:00
C109,AK,2024-11-09,9:00
C110,AK,2024-11-09,9:00
C111,AK,2024-11-09,9:00
