Room Number,Campus,Exam Date,Exam Time,Invigilator 1,Invigilator 2
C104,AK,2024-11-02,9:00,140656535,140156273
C109,AK,2024-11-02,9:00,3163,73465287
C107,AK,2024-11-02,9:00,140156476,73465285
C108,AK,2024-11-02,9:00,2864,3855
C106,AK,2024-11-02,9:00,140656534,2583
C105,AK,2024-11-02,9:00,140659883,140658387
C111,AK,2024-11-02,9:00,70570176,12727
C112,AK,2024-11-02,9:00,2324,140558384
C004,SA,2024-11-03,11:30,3816,140558182
C002,SA,2024-11-03,11:30,70569988,605012
C005,SA,2024-11-03,11:30,140656196,140156480
E004,AK,2024-11-03,11:30,70170053,140856806
E005,AK,2024-11-03,11:30,2633,73970881
E001,AK,2024-11-03,11:30,3282,506074
E105,AK,2024-11-03,11:30,140556448,140656536
C003,AK,2024-11-03,11:30,1749,3817
E003,AK,2024-11-03,11:30,140558383,70834075
C008,SA,2024-11-03,11:30,140856807,70567899
C009,SA,2024-11-03,11:30,143856456,73467545
C002,AK,2024-11-03,11:30,4327,706020
C008,AK,2024-11-03,11:30,140558081,2659
C002,SA,2024-11-04,11:30,140558090,85252
C008,AK,2024-11-04,11:30,706055,2497
C005,AK,2024-11-04,11:30,3840,3808
C010,AK,2024-11-04,11:30,123585784,3247
C009,AK,2024-11-04,11:30,70259681,140556451
C006,AK,2024-11-04,11:30,140659884,3408
C008,SA,2024-11-04,11:30,2350,140556454
C005,SA,2024-11-04,11:30,80022,3809
C004,SA,2024-11-04,11:30,143856524,302038
E001,AK,2024-11-04,11:30,70567897,81501013
C109,AK,2024-11-04,11:30,3880,2698
C103,AK,2024-11-04,11:30,140558091,70567505
C110,AK,2024-11-04,11:30,1766622,3800
C112,AK,2024-11-04,11:30,140558084,140156198
E103,AK,2024-11-05,11:30,75723486,70568185
C002,SA,2024-11-05,11:30,140558083,140558082
C005,SA,2024-11-05,11:30,73970882,12539
B013,SA,2024-11-05,11:30,70268084,140658381
B115,SA,2024-11-05,11:30,3355,140558281
C008,SA,2024-11-05,11:30,140556449,2315
C009,SA,2024-11-05,11:30,140556453,2794
C004,SA,2024-11-05,11:30,140656535,140156273
B018,SA,2024-11-05,11:30,3163,73465287
B116,SA,2024-11-05,11:30,140156476,73465285
C010,AK,2024-11-05,11:30,2864,3855
E104,AK,2024-11-05,11:30,140656534,2583
E005,AK,2024-11-05,11:30,140659883,140658387
E004,AK,2024-11-05,11:30,70570176,12727
E106,AK,2024-11-05,11:30,2324,140558384
E002A,AK,2024-11-05,11:30,3816,140558182
E002B,AK,2024-11-05,11:30,70569988,605012
E105,AK,2024-11-05,11:30,140656196,140156480
E101,AK,2024-11-05,11:30,70170053,140856806
C112,AK,2024-11-05,11:30,2633,73970881
C111,AK,2024-11-05,11:30,3282,506074
C110,AK,2024-11-05,11:30,140556448,140656536
C103,AK,2024-11-05,11:30,1749,3817
C106,AK,2024-11-05,11:30,140558383,70834075
C108,AK,2024-11-05,11:30,140856807,70567899
C008,AK,2024-11-05,11:30,143856456,73467545
C104,AK,2024-11-05,11:30,4327,706020
C010,SA,2024-11-05,11:30,140558081,2659
C107,AK,2024-11-05,11:30,140558090,85252
C102,AK,2024-11-05,11:30,706055,2497
C105,AK,2024-11-05,11:30,3840,3808
B003,SA,2024-11-05,11:30,123585784,3247
C101,AK,2024-11-05,11:30,70259681,140556451
C109,AK,2024-11-05,11:30,140659884,3408
C010,AK,2024-11-06,11:30,2350,140556454
C009,AK,2024-11-06,11:30,80022,3809
E001,AK,2024-11-06,11:30,143856524,302038
C008,AK,2024-11-06,11:30,70567897,81501013
C005,SA,2024-11-06,11:30,3880,2698
C008,SA,2024-11-06,11:30,140558091,70567505
C002,SA,2024-11-06,11:30,1766622,3800
C004,SA,2024-11-06,11:30,140558084,140156198
C006,AK,2024-11-07,11:30,75723486,70568185
C009,AK,2024-11-07,11:30,140558083,140558082
E001,AK,2024-11-07,11:30,73970882,12539
C005,AK,2024-11-07,11:30,70268084,140658381
C004,AK,2024-11-07,11:30,3355,140558281
C010,AK,2024-11-07,11:30,140556449,2315
C106,AK,2024-11-07,11:30,140556453,2794
C112,AK,2024-11-07,11:30,140656535,140156273
C105,AK,2024-11-07,11:30,3163,73465287
C110,AK,2024-11-07,11:30,140156476,73465285
C108,AK,2024-11-07,11:30,2864,3855
C109,AK,2024-11-07,11:30,140656534,2583
C104,AK,2024-11-07,11:30,140659883,140658387
C103,AK,2024-11-07,11:30,70570176,12727
C101,AK,2024-11-07,11:30,2324,140558384
C111,AK,2024-11-07,11:30,3816,140558182
E005,AK,2024-11-09,9:00,70569988,605012
C008,SA,2024-11-09,9:00,140656196,140156480
C002,SA,2024-11-09,9:00,70170053,140856806
C004,SA,2024-11-09,9:00,2633,73970881
C005,SA,2024-11-09,9:00,3282,506074
C107,AK,2024-11-09,9:00,140556448,140656536
E004,AK,2024-11-09,9:00,1749,3817
C009,SA,2024-11-09,9:00,140558383,70834075
E002A,AK,2024-11-09,9:00,140856807,70567899
C008,AK,2024-11-09,9:00,143856456,73467545
A031,AK,2024-11-09,9:00,4327,706020
C112,AK,2024-11-09,9:00,140558081,2659
C106,AK,2024-11-09,9:00,140558090,85252
C109,AK,2024-11-09,9:00,706055,2497
C110,AK,2024-11-09,9:00,3840,3808
C111,AK,2024-11-09,9:00,123585784,3247
